num;Tamaina;k;Eraikitzailea;ILS;ILS time;ILS originala;ILS time originala
71;100;5;0.03151810303919276;0.06381897516181445;11.90933108329773;0.06029420022720976;11.868278741836548
72;100;5;0.0034096890583260155;0.06274062358649553;11.727586269378662;0.06356134324038631;11.78812837600708
73;100;5;0.03405955709524483;0.06491491358685961;11.72864294052124;0.06260363128336488;11.875197887420654
74;100;5;0.005120550141342737;0.06499636846980214;11.708581686019897;0.06252803868366441;11.759336948394775
75;100;5;0.0009972052335996454;0.060809155528842744;11.656872749328613;0.06360021943451799;11.85253095626831
76;100;5;0.028998863951215932;0.06378688687459465;11.770734786987305;0.06201184921713835;11.783457279205322
77;100;5;0.01679420732365789;0.06406549959920495;12.251444816589355;0.06175298313081717;12.07040286064148
78;100;5;-0.00926209898125859;0.05985946564362625;12.862544775009155;0.06100291941705456;12.483079671859741
79;100;5;0.013937732678649997;0.06391092044634808;14.448676824569702;0.06296832700926673;12.738132953643799
80;100;5;0.035494890865883914;0.06604787695869682;13.119420289993286;0.057674068159224545;14.940516233444214
81;100;5;0.041370441380561535;0.06386031968573225;11.736726999282837;0.06367612057544172;13.32974648475647
82;100;5;0.008288959963073786;0.060070199299117756;11.746387243270874;0.059238372161189344;11.60368537902832
83;100;5;0.0007269231220175636;0.06315160049588746;11.74162483215332;0.06438669101262612;11.681082725524902
84;100;5;-0.002764220819250997;0.061148859415659944;11.605386972427368;0.06639961395322144;11.703127384185791
85;100;5;0.023851470723448946;0.06435707105519248;11.645882368087769;0.06093072077081002;11.796824932098389
86;100;5;0.019554417107006415;0.060925167028791215;11.549264907836914;0.06157649755110832;11.478927373886108
87;100;5;-0.007433066609730525;0.06437527498736524;11.506732702255249;0.06259653483522973;11.5082266330719
88;100;5;0.014850089075851156;0.06303096087758998;11.817607402801514;0.06482019143131657;12.186404705047607
89;100;5;0.010870524378150592;0.062329955218326856;11.45442271232605;0.06183196968397356;11.648592472076416
90;100;5;0.00572436531527668;0.06034387536415578;12.123398065567017;0.06121858973211834;11.49572467803955
91;100;5;-0.004649716234636959;0.06251230308127778;11.538722515106201;0.06464370585160771;12.12863302230835
92;100;5;0.004239047866468295;0.06085296838254669;11.403452157974243;0.0619060195775577;11.622577905654907
93;100;5;0.005315239653224349;0.06180728638611219;11.554687738418579;0.0652780666066451;11.532374620437622
94;100;5;0.0016136705976875468;0.060955095527448135;12.238839864730835;0.05982336632050399;11.631885766983032
95;100;5;0.034020063818666624;0.06365606539592936;13.242323398590088;0.06412998471486779;12.749714136123657
96;100;5;0.032959916175520465;0.06534193463986143;13.25802493095398;0.06019454141209446;12.361204624176025
97;100;5;0.03379883976158403;0.0637816416737991;11.80115818977356;0.061128495694924304;12.407441139221191
98;100;5;0.014583818000171549;0.06311673533765827;12.545833587646484;0.06538667311723517;12.278532981872559
99;100;5;0.004284711967511844;0.06523332812927136;11.85110330581665;0.06311056451319291;12.552804231643677
100;200;5;0.056629039036018486;0.20864359724509712;18.37459111213684;0.20057678696277575;18.542757987976074
101;200;5;0.009902013478314795;0.20648843680057563;19.285853385925293;0.20749489827087328;18.428446292877197
102;200;5;0.06365976789060857;0.20948190374871414;18.675978183746338;0.20195658331322672;19.195407152175903
